record_id,chunk_id,uniprot_id,enzyme_name,ligand_name,pdb_id,original_class,verified_class,confidence,evidence_level,is_correct,is_mutant,trap_detected,needs_human_review,review_reason,reasoning
REC_0343,07,P14779,CYP102A1 (P450 BM3),ETHANAMINE,7D0U,unknown,INHIBITOR,HIGH,B,True,False,none,False,,Ethanamine is a primary amine that coordinates to heme iron as Type-II ligand. Small amines are well-known P450 inhibitors via Fe-N coordination.
REC_0344,07,P14779,CYP102A1 (P450 BM3),METHYLAMINE,7D1F,unknown,INHIBITOR,HIGH,B,True,False,none,False,,"Methylamine, similar to ethanamine, is a primary amine acting as Type-II inhibitor through Fe-N coordination to heme."
REC_0345,07,P14779,CYP102A1 (P450 BM3),(1S)-1-phenylethanamine,7E46,unknown,INHIBITOR,HIGH,B,True,False,none,False,,Phenylethanamine is an aromatic amine that acts as Type-II inhibitor. Amine group coordinates to heme iron.
REC_0346,07,P14779,CYP102A1 (P450 BM3),(2~{S})-2-(hexadecanoylamino)-4-oxidanyl-butanoic acid,7W97,unknown,SUBSTRATE,HIGH,B,True,False,none,False,,P450 BM3 is known for fatty acid metabolism. This long-chain N-acyl amino acid derivative is consistent with BM3 substrate profile.
REC_0347,07,P14779,CYP102A1 (P450 BM3),N-[(3S)-2-oxooxolan-3-yl]dodecanamide,7W9J,unknown,SUBSTRATE,MEDIUM,C,True,False,none,False,,"Contains dodecanoyl (C12) chain, fitting BM3 fatty acid substrate profile. Medium confidence maintained due to structural modification."
REC_0348,07,P14779,CYP102A1 (P450 BM3),(2~{S})-2-(hexadecanoylamino)-3-phenyl-propanoic acid,7WG0,unknown,SUBSTRATE,MEDIUM,C,True,False,none,False,,N-palmitoyl phenylalanine derivative. Engineered BM3 variants can accept modified fatty acids. Medium confidence appropriate.
REC_0349,07,P14779,CYP102A1 (P450 BM3),sorbitol,7WY1,unknown,EXCLUDE,HIGH,A,True,False,none,False,,Sorbitol is crystallization additive/cryoprotectant. Not a substrate or inhibitor. Correctly excluded.
REC_0350,07,P14779,CYP102A1 (P450 BM3),Oxomolybdenum Mesoporphyrin IX,7WY2,unknown,EXCLUDE,HIGH,A,True,False,none,False,,Mesoporphyrin IX is heme analog used for crystallization/structural studies. Should be excluded.
REC_0351,07,P14779,CYP102A1 (P450 BM3),(2~{S})-2-(5-cyclohexylpentanoylamino)-3-phenyl-propanoic acid,7WY3,unknown,SUBSTRATE,MEDIUM,C,True,False,none,False,,Cyclohexyl fatty acid derivative. BM3 variants can process modified fatty acids. Medium confidence appropriate.
REC_0352,07,P14779,CYP102A1 (P450 BM3),(2~{S})-2-[[(2~{S})-1-(3-cyclohexylpropanoyl)piperidin-2-yl]carbonylamino]-3-phenyl-propanoic acid,7XZK,unknown,SUBSTRATE,MEDIUM,C,True,False,none,False,,Complex substrate with cyclohexyl chain and piperidine. Engineered BM3 variants show broad substrate scope.
REC_0353,07,P14779,CYP102A1 (P450 BM3),P-CRESOL,7Y0P,unknown,SUBSTRATE,HIGH,B,True,False,none,False,,p-Cresol is documented BM3 substrate. Engineered variants show hydroxylation activity.
