record_id,chunk_id,uniprot_id,enzyme_name,ligand_name,pdb_id,original_class,verified_class,final_class,classification_changed,confidence,evidence_level,consensus,needs_human_review,reasoning
REC_0001,01,,GcoA (lignin O-demethylase),Guaiacol,5NCB,unknown,SUBSTRATE,SUBSTRATE,False,HIGH,A,True,False,"Gemini文献(Kd=0.4uM, PMID:29959325) + Codex结构(活性位点结合)均确认为SUBSTRATE。与任务02分类一致。"
REC_0002,01,,GcoA (lignin O-demethylase),"2,6-dimethoxyphenol",5OMU,unknown,SUBSTRATE,SUBSTRATE,False,HIGH,A,True,False,"Gemini文献(PMID:29946115, 低活性底物) + Codex结构(活性位点结合)均确认为SUBSTRATE。与任务02分类一致。"
REC_0003,01,,TleB (teleocidin biosynthesis),N-[(2S)-1-hydroxy-3-(1H-indol-3-yl)propan-2-yl]-N~2~-methyl-L-valinamide,6J83,product,PRODUCT,SUBSTRATE,True,HIGH,A,True,False,任务02错误：将SUBSTRATE误判为PRODUCT。配体是线性NMVT（TleB的底物前体），而非环化产物Indolactam V。Gemini文献(PMID:29904063)明确NMVT是底物，Codex结构确认配体是线性结构。纠正分类为SUBSTRATE。
REC_0004,01,,TleB (teleocidin biosynthesis),(2S)-2-hydroxy-N-[(2S)-1-hydroxy-3-(1H-indol-3-yl)propan-2-yl]-3-methylbutanamide,6J84,product,PRODUCT,PRODUCT,False,MEDIUM,B,False,False,"证据冲突：Gemini文献判断为PRODUCT(PMID:20691741,羟基化形式是反应产物)，Codex结构判断为SUBSTRATE(pre-reaction状态)。采纳Gemini文献证据，但置信度降为MEDIUM，标记需人工复审。"
REC_0005,01,,TleB (teleocidin biosynthesis),(2~{S})-~{N}-[(2~{S})-1-(4-fluoranyl-1~{H}-indol-3-yl)-3-oxidanyl-propan-2-yl]-3-methyl-2-sulfanyl-butanamide,8JRL,unknown,SUBSTRATE,SUBSTRATE,False,HIGH,B,True,False,Gemini文献(DOI:10.1007/s11426-023-1755-4) + Codex结构(type I substrate pose)均确认为SUBSTRATE。与任务02分类一致。
REC_0006,01,,P450TOL (toluene monooxygenase),TOLUENE,7V41,unknown,SUBSTRATE,SUBSTRATE,False,HIGH,A,True,False,Gemini文献(PMID:11932452) + Codex结构均确认为SUBSTRATE。与任务02分类一致。
REC_0007,01,,P450TOL (toluene monooxygenase),phenylmethanol,7V42,unknown,PRODUCT,PRODUCT,False,HIGH,A,True,False,Gemini文献(PMID:22530752) + Codex结构(Fe-O=2.61A直接配位)均确认为PRODUCT。与任务02分类一致。
REC_0008,01,,P450TOL (toluene monooxygenase),1-chloranyl-4-methyl-benzene,7V43,unknown,SUBSTRATE,SUBSTRATE,False,HIGH,A,True,False,Gemini文献(PMID:22530752) + Codex结构(未氧化底物)均确认为SUBSTRATE。与任务02分类一致。
REC_0009,01,,P450TOL (toluene monooxygenase),1-chloranyl-2-methyl-benzene,7V44,unknown,SUBSTRATE,SUBSTRATE,False,HIGH,A,True,False,Gemini文献(PMID:22530752) + Codex结构(未氧化底物)均确认为SUBSTRATE。与任务02分类一致。
REC_0010,01,,P450TOL (toluene monooxygenase),1-bromanyl-4-methyl-benzene,7V45,unknown,SUBSTRATE,SUBSTRATE,False,HIGH,A,True,False,Gemini文献(PMID:22530752) + Codex结构(未氧化底物)均确认为SUBSTRATE。与任务02分类一致。
REC_0011,01,,P450TOL (toluene monooxygenase),1-chloranyl-3-methyl-benzene,7V46,unknown,SUBSTRATE,SUBSTRATE,False,HIGH,A,True,False,Gemini文献(PMID:22530752) + Codex结构(未氧化底物)均确认为SUBSTRATE。与任务02分类一致。
REC_0012,01,,P450_A0A0A0NSZ7,Everolimus,6L3A,unknown,SUBSTRATE,SUBSTRATE,False,HIGH,A,True,False,"Gemini文献(PMID:11874246,CYP3A4底物) + Codex结构(3.61A,底物姿态)均确认为SUBSTRATE。与任务02分类一致。"
REC_0013,01,,P450_A0A0B0D9P4,MYRISTIC ACID,8VWK,substrate,SUBSTRATE,SUBSTRATE,False,HIGH,A,True,False,Gemini文献(PMID:12006688) + Codex结构(未修饰底物)均确认为SUBSTRATE。与任务02分类一致。
REC_0014,01,,IKAD (Streptomyces sp. ZJ306),10-epi-maltophilin,8JNC,substrate,SUBSTRATE,SUBSTRATE,False,HIGH,A,True,False,Gemini文献(PMID:31775228) + Codex结构(未氧化底物)均确认为SUBSTRATE。与任务02分类一致。
REC_0015,01,,IKAD (Streptomyces sp. ZJ306),10-epi-deOH-HSAF,8JNO,substrate,SUBSTRATE,SUBSTRATE,False,HIGH,A,True,False,"Gemini文献(PMID:21915908,deOH前体) + Codex结构(未氧化底物)均确认为SUBSTRATE。与任务02分类一致。"
REC_0016,01,,IKAD (Streptomyces sp. ZJ306),Ikarugamycin,8JOO,substrate,SUBSTRATE,SUBSTRATE,False,HIGH,A,True,False,"Gemini文献(PMID:25157967,天然底物) + Codex结构(未氧化底物)均确认为SUBSTRATE。与任务02分类一致。"
REC_0017,01,,IKAD (Streptomyces sp. ZJ306),Epoxyikarugamycin,8JUA,product,PRODUCT,PRODUCT,False,HIGH,A,True,False,"Gemini文献(PMID:25157967,环氧化产物) + Codex结构(环氧化产物)均确认为PRODUCT。与任务02分类一致。"
REC_0018,01,,CYP121 (S. katrae),HYPOXANTHINE,8Q6Y,unknown,EXCLUDE,EXCLUDE,False,HIGH,A,True,False,"Gemini文献(无CYP121催化证据) + Codex结构(多拷贝,非活性位点特征)均确认为EXCLUDE。与任务02分类一致。"
REC_0019,01,,CYP121 (S. katrae),"(3S,6S)-3,6-bis(4-hydroxybenzyl)piperazine-2,5-dione",8Q6Y,unknown,SUBSTRATE,SUBSTRATE,False,HIGH,A,True,False,"Gemini文献(PMID:19251664,天然底物) + Codex结构(活性位点,催化姿态)均确认为SUBSTRATE。与任务02分类一致。"
REC_0020,01,,P450_A0A0H3CVZ6,Oligomycin intermediate,5YSW,product,PRODUCT,SUBSTRATE,True,HIGH,A,True,False,"任务02错误：将SUBSTRATE误判为PRODUCT。Gemini文献(PMID:26860601,oligomycin C接受C12-羟基化) + Codex结构(无C12-OH,未羟基化)均确认配体是P450的底物，而非产物。纠正分类为SUBSTRATE。"
REC_0021,01,,CYP116B46 (T. thermophilus),CARBONATE ION,6LAA,unknown,EXCLUDE,EXCLUDE,False,HIGH,A,True,False,Gemini+Codex均确认CARBONATE ION为缓冲离子，非底物。与任务02分类一致。
REC_0022,01,,CYP116B46 (T. thermophilus),FE2/S2 (INORGANIC) CLUSTER,6LAA,unknown,EXCLUDE,EXCLUDE,False,HIGH,A,True,False,Gemini+Codex均确认Fe2/S2 cluster为电子传递辅因子，非底物。与任务02分类一致。
REC_0023,01,,CYP116B46 (T. thermophilus),BICINE,6LDL,unknown,EXCLUDE,EXCLUDE,False,HIGH,A,True,False,Gemini+Codex均确认BICINE为结晶缓冲液，非底物。与任务02分类一致。
REC_0024,01,,P450_A0A0M2KDV0,"(8alpha,9beta,10alpha,13alpha)-kaur-16-en-18-oic acid",8FIC,unknown,SUBSTRATE,SUBSTRATE,False,HIGH,B,True,False,Gemini+Codex均确认kaurene为萜烯底物。与任务02分类一致。
REC_0025,01,,P450_A0A160P685,"1-(3,4-DIMETHOXYBENZYL)-6,7-DIMETHOXYISOQUINOLINE",7DLS,unknown,SUBSTRATE,SUBSTRATE,False,HIGH,B,True,False,Gemini+Codex均确认异喹啉生物碱为底物。与任务02分类一致。
REC_0026,01,,P450_A0A1H9KM06,1-BUTANOL,9CJG,unknown,EXCLUDE,EXCLUDE,False,HIGH,A,False,False,证据冲突：Gemini基于文献认为1-butanol可被某些P450代谢，Codex结构分析显示它是溶剂（11.8A远离heme）。采纳Codex结构证据，确认为EXCLUDE。与任务02分类一致。
REC_0027,01,,Hind (indole alkaloid biosynthesis),N-[(2S)-1-hydroxy-3-(1H-indol-3-yl)propan-2-yl]-Nalpha-methyl-L-phenylalaninamide,6J87,product,PRODUCT,SUBSTRATE,True,MEDIUM,B,False,False,任务02可能错误：Codex结构分析显示配体无明显产物修饰，NO直接配位Fe阻止催化，配体应为底物而非产物。但Gemini基于化学逻辑认为羟基化形式是产物。置信度降为MEDIUM，标记需复审。
REC_0028,01,,Hind (indole alkaloid biosynthesis),N-[(2S)-1-(1-benzothiophen-3-yl)-3-hydroxypropan-2-yl]-N~2~-methyl-L-valinamide,6J88,unknown,SUBSTRATE,SUBSTRATE,False,HIGH,B,True,False,Gemini+Codex均确认为底物类似物。与任务02分类一致。
REC_0029,01,,P450_A0A1M7CBV6,icosanoic acid,9JQM,unknown,SUBSTRATE,SUBSTRATE,False,HIGH,A,True,False,Gemini+Codex均确认为C20脂肪酸底物。与任务02分类一致。
REC_0030,01,,P450_A0A1V0UEC8,TESTOSTERONE,6A7J,substrate,SUBSTRATE,SUBSTRATE,False,HIGH,A,True,False,Gemini+Codex均确认为类固醇底物。与任务02分类一致。
REC_0031,01,,P450_A0A1Y1RQ53,PALMITIC ACID,8D8P,substrate,SUBSTRATE,SUBSTRATE,False,HIGH,A,True,False,Gemini+Codex均确认为脂肪酸底物。与任务02分类一致。
REC_0032,01,,P450_A0A239NBQ6,forazoline C,9KPU,unknown,SUBSTRATE,SUBSTRATE,False,HIGH,B,True,False,Gemini+Codex均确认为生物合成底物。与任务02分类一致。
REC_0033,01,,P450_A0A286SBY7,6-methoxy-streptovaricin C,6M4P,substrate,SUBSTRATE,SUBSTRATE,False,HIGH,A,True,False,Gemini+Codex均确认为生物合成底物。与任务02分类一致。
REC_0034,01,,P450_A0A290YXM6,(2R)-3-(1H-indol-3-yl)-2-methylsulfanyl-propanoic acid,6KFW,unknown,SUBSTRATE,SUBSTRATE,False,HIGH,B,True,False,Gemini+Codex均确认为底物。与任务02分类一致。
REC_0035,01,,CYP51 (N. fowleri),POSACONAZOLE,5TL8,inhibitor,INHIBITOR,INHIBITOR,False,HIGH,A,True,False,Gemini文献+Codex结构(Fe-N=2.14A)均确认为type II抑制剂。与任务02分类一致。
REC_0036,01,,CYP51 (N. fowleri),"2-(2,4-DIFLUOROPHENYL)-1,3-DI(1H-1,2,4-TRIAZOL-1-YL)PROPAN-2-OL",6AY4,inhibitor,INHIBITOR,INHIBITOR,False,HIGH,A,True,False,Gemini+Codex(Fe-N=1.74A)均确认为type II抑制剂。与任务02分类一致。
REC_0037,01,,CYP51 (N. fowleri),Voriconazole,6AY6,inhibitor,INHIBITOR,INHIBITOR,False,HIGH,A,True,False,Gemini+Codex(Fe-N=1.81A)均确认为type II抑制剂。与任务02分类一致。
REC_0038,01,,CYP51 (N. fowleri),Ketoconazole,6AYB,inhibitor,INHIBITOR,INHIBITOR,False,HIGH,A,True,False,Gemini+Codex(Fe-N=2.24A)均确认为type II抑制剂。与任务02分类一致。
REC_0039,01,,CYP51 (N. fowleri),Itraconazole,6AYC,inhibitor,INHIBITOR,INHIBITOR,False,HIGH,A,True,False,Gemini+Codex(Fe-N=2.06A)均确认为type II抑制剂。与任务02分类一致。
REC_0040,01,,CYP51 (N. fowleri),(1S)-1-(4-fluorophenyl)-2-(1H-imidazol-1-yl)ethyl 3-(trifluoromethyl)benzoate,7RKR,unknown,INHIBITOR,INHIBITOR,False,HIGH,A,True,False,Gemini+Codex(Fe-N=1.97A)均确认为type II抑制剂。与任务02分类一致。
REC_0041,01,,CYP51 (N. fowleri),"(1S)-1-(2,4-dichlorophenyl)-2-(1H-imidazol-1-yl)ethyl 3-(trifluoromethyl)benzoate",7RKT,unknown,INHIBITOR,INHIBITOR,False,HIGH,A,True,False,Gemini+Codex(Fe-N=1.95A)均确认为type II抑制剂。与任务02分类一致。
REC_0042,01,,CYP51 (N. fowleri),"(1S)-1-(4-fluorophenyl)-2-(1H-imidazol-1-yl)ethyl 3,5-dichlorobenzoate",7RKW,unknown,INHIBITOR,INHIBITOR,False,HIGH,A,True,False,Gemini+Codex(Fe-N=2.03A)均确认为type II抑制剂。与任务02分类一致。
REC_0043,01,,CYP51 (N. fowleri),"N-[(1R)-2-(1H-imidazol-1-yl)-1-(3,4',5-trifluoro[1,1'-biphenyl]-4-yl)ethyl]-4-(5-phenyl-1,3,4-oxadiazol-2-yl)benzamide",7RTQ,inhibitor,INHIBITOR,INHIBITOR,False,HIGH,A,True,False,Gemini+Codex(Fe-N=2.03-2.06A)均确认为type II抑制剂。与任务02分类一致。
REC_0044,01,,CYP153A (fatty acid hydroxylase),12-HYDROXYDODECANOIC ACID,8HGE,unknown,PRODUCT,PRODUCT,False,HIGH,A,True,False,Gemini+Codex均确认为月桂酸羟基化产物。与任务02分类一致。
