id,name,our_labels,verdict,correct_labels,source,reasoning
CMP_G000769,Ent-Cassa-12_15-Diene,Terpenoid,CORRECT,Terpenoid,Known diterpene (C20) cassane skeleton,Ent-cassadiene is a diterpene hydrocarbon from the terpenoid pathway via GGPP cyclization
CMP_G002050,confertifolin,Terpenoid,CORRECT,Terpenoid,PubChem + literature: drimane sesquiterpene lactone,Confertifolin is a drimane-type sesquiterpenoid lactone derived from drimenol via FPP cyclization
CMP_G001098,(unnamed prostaglandin endoperoxide),Fatty_acid,CORRECT,Fatty_acid,Structure: C20 with COOH + cyclic peroxide typical of prostaglandin/thromboxane pathway,SMILES shows long-chain fatty acid with endoperoxide bridge - prostaglandin H2-type derivative from arachidonic acid
CMP_G001780,Cyclooctane,Other,CORRECT,Other,PubChem: simple cycloalkane hydrocarbon,Cyclooctane is a simple cyclic hydrocarbon with no natural product classification
CMP_G001244,(o-coumaric acid),Phenylpropanoid,CORRECT,Phenylpropanoid,PubChem + Wikipedia: 2-hydroxycinnamic acid is a hydroxycinnamic acid C6-C3,o-Coumaric acid (trans-2-hydroxycinnamic acid) has C6-C3 phenylpropanoid scaffold
CMP_G001591,pretenellin A,Polyketide,CORRECT,Polyketide,Literature: dimethylated pentaketide from PKS-NRPS hybrid in Beauveria,Pretenellin A is produced by tenellin synthetase (PKS-NRPS); confirmed polyketide-nonribosomal peptide hybrid
CMP_G000717,6-Cyclopropyl-2-methyltryptophan,Amino_acid,CORRECT,Amino_acid,Structure: tryptophan derivative with NH2-CH-COOH backbone,Modified tryptophan retaining the alpha-amino acid backbone (NH2-CHR-COOH)
CMP_G000988,thymol,Terpenoid,CORRECT,Terpenoid,PubChem + Wikipedia: monoterpenoid phenol from thyme,Thymol is a natural monoterpenoid phenol (C10) found in thyme oil
CMP_G000773,beta-farnesene,Terpenoid,CORRECT,Terpenoid,Wikipedia: acyclic sesquiterpene (C15),Beta-farnesene is a well-known acyclic sesquiterpene (C15) from FPP
CMP_G001170,(unnamed sesquiterpene),Terpenoid,CORRECT,Terpenoid,SMILES analysis: C15 tricyclic hydrocarbon with isopropenyl groups,C15 skeleton with multiple isoprene units consistent with sesquiterpene
CMP_G001325,Cyclopentadecyl mycaminoside,Other,CORRECT,Other,Structure: synthetic glycoside of cyclopentadecane + aminosugar,A glycoside of a macrocyclic alkane with a mycaminose sugar; not a standard natural product class
CMP_G001875,1_3_5-Trichlorobenzene,Other,CORRECT,Other,PubChem: synthetic chlorinated aromatic,Industrial chemical / environmental pollutant; no natural product class
CMP_G001968,11-Keto-beta-boswellic acid,Terpenoid,CORRECT,Terpenoid,PubChem + Wikipedia: pentacyclic triterpenoid from Boswellia serrata,Boswellic acids are oleane-type pentacyclic triterpenoids (C30) from frankincense resin
CMP_G001595,(vitamin D analog / secosteroid),Steroid,CORRECT,Steroid,SMILES: secosteroid skeleton with triene system matching vitamin D / calcitriol pattern,Vitamin D derivatives are secosteroids (broken B-ring steroids) classified under Steroid
CMP_G000119,(25R)-3-Oxocholest-4-En-26-Al,Steroid,CORRECT,Steroid,Name: cholestane skeleton (C27 steroid),Cholest-4-en-3-one derivative with intact ABCD steroid ring system
CMP_G000385,20-Oxo-5-O-Beta-D-Mycaminosyltylonolide,Polyketide,CORRECT,Polyketide,ChEBI + literature: 16-membered macrolide from tylosin family,Tylonolide-based macrolide antibiotic; tylosin is a classic polyketide natural product
CMP_G001985,Ethylbenzene,Other,CORRECT,Other,PubChem: simple aromatic hydrocarbon (petrochemical),Ethylbenzene is a simple aromatic hydrocarbon with no natural product classification
CMP_G000161,N-Methyl-9-acridinamine,Alkaloid,WRONG,Other,PubChem + RSC review: acridine is a synthetic pharmacophore; aminacrine is a synthetic antiseptic drug,N-Methyl-9-acridinamine is a synthetic acridine derivative (aminacrine analog). While some acridone alkaloids exist in nature this specific compound is synthetic. Per rules: Alkaloid = natural products only
CMP_G000972,(3-methoxycinnamic acid),Phenylpropanoid,CORRECT,Phenylpropanoid,PubChem: methoxycinnamic acid is a cinnamic acid derivative C6-C3,3-Methoxycinnamic acid has C6-C3 scaffold; methoxy-substituted cinnamic acids are phenylpropanoids
CMP_G000915,5alpha-acetoxy-10beta-hydroxy taxadiene,Terpenoid,CORRECT,Terpenoid,Literature: taxane diterpene intermediate in Taxol (paclitaxel) biosynthesis,Taxadiene derivatives are diterpenes (C20) from the taxol biosynthetic pathway in Taxus
CMP_G000968,apigenin 4'-7-dimethyl ether,Phenylpropanoid,CORRECT,Phenylpropanoid,Literature: dimethylated flavone from PAL pathway,Apigenin is a flavone (C6-C3-C6) biosynthesized via the phenylpropanoid/flavonoid pathway
CMP_G000672,Methyl iodide,Other,CORRECT,Other,PubChem: simple organohalide CH3I,Methyl iodide is a simple one-carbon halide with no natural product class
CMP_G001516,1-Methyl-5-(4-morpholinyl)tryptophan,Amino_acid,CORRECT,Amino_acid,Structure: tryptophan derivative with NH2-CH-COOH + morpholine substituent,Modified tryptophan retaining alpha-amino acid backbone (NH2-CHR-COOH)
CMP_G000004,A 14alpha-hydroxymethyl steroid,Steroid,CORRECT,Steroid,Name + SMILES: ABCD tetracyclic steroid skeleton with hydroxymethyl at C14,Clear steroid nucleus (6-6-6-5 fused ring system) with wildcard attachment
CMP_G000980,2Beta-Hydroxyoleanolic Acid,Terpenoid,CORRECT,Terpenoid,PubChem + literature: oleanane-type pentacyclic triterpenoid,Oleanolic acid derivatives are C30 pentacyclic triterpenoids
CMP_G000580,alpha-Amino-1_2-dimethyl-4-(4-morpholinyl)-1H-indole-3-propanal,Other,CORRECT,Other,Structure analysis: has NH2-CH(R)-CHO (amino aldehyde) not COOH,SMILES shows CC(N)C=O (amino + aldehyde) not COOH. Per rules: No COOH = not amino acid. This tryptophan-derived amino aldehyde correctly classified as Other.
CMP_G000405,5Alpha-cholest-7-en-3-one,Steroid,CORRECT,Steroid,Name: cholestane steroid skeleton,Cholest-7-en-3-one has intact ABCD steroid ring system (C27)
CMP_G000315,coniferaldehyde,Phenylpropanoid,CORRECT,Phenylpropanoid,Wikipedia: monolignol aldehyde from PAL pathway,Coniferaldehyde is a key C6-C3 intermediate in the lignin/phenylpropanoid pathway
CMP_G001071,Cordycol,Terpenoid,CORRECT,Terpenoid,Literature: sesquiterpene from Cordyceps/fumagillin pathway,Cordycol is a sesquiterpenoid (C15) related to the bergamotene/fumagillin biosynthetic pathway
CMP_G001690,3-Fluoro-D-tyrosine,Amino_acid,CORRECT,Amino_acid,Structure: fluorinated tyrosine with NH2-CH-COOH,3-Fluoro-D-tyrosine retains the complete alpha-amino acid backbone
CMP_G000079,(4-propylbenzoic acid),Other,CORRECT,Other,SMILES: CCCc1ccc(C(=O)O)cc1 is 4-propylbenzoic acid - simple aromatic acid,Simple substituted benzoic acid; no natural product class assignment warranted
CMP_G000264,2-[(3E_5E)-6-(4-Chlorophenyl)... pyranone,Polyketide,CORRECT,Polyketide,Structure: alpha-pyrone polyene resembling citreoviridin/aurovertin fungal polyketides,Methoxy-alpha-pyrone with polyene chain is characteristic of reduced polyketide mycotoxins (citreoviridin family)
CMP_G000629,soppiline B,Polyketide,CORRECT,Polyketide,Literature: alkylresorcinol from Penicillium soppi via type III PKS,Soppiline B is an alkylresorcinol natural product biosynthesized by type III polyketide synthase
CMP_G000265,Epi-Isozizaene,Terpenoid,CORRECT,Terpenoid,Literature: tricyclic sesquiterpene from Streptomyces coelicolor,Epi-isozizaene is a sesquiterpene (C15) produced by epi-isozizaene synthase from FPP
CMP_G000215,Cumic acid,Terpenoid,CORRECT,Terpenoid,PubChem + MedChemExpress: aromatic monoterpenoid from Bridelia retusa,Cumic acid (4-isopropylbenzoic acid) is classified as an aromatic monoterpenoid (C10)
CMP_G001053,Benzoic acid triazole macrolactone,Other,CORRECT,Other,Structure: synthetic click-chemistry product (triazole linker + macrolactone),Contains 1_2_3-triazole (click chemistry hallmark) linking benzoic acid to macrolactone; clearly synthetic
CMP_G000302,(+)-exo-beta-bergamotene,Terpenoid,CORRECT,Terpenoid,Known bicyclic sesquiterpene (C15),Beta-bergamotene is a well-characterized bicyclic sesquiterpene (C15)
CMP_G001876,2'-hydroxyformononetin,Phenylpropanoid,CORRECT,Phenylpropanoid,Literature: hydroxylated isoflavone from PAL/phenylpropanoid pathway,Formononetin and its hydroxylated derivatives are isoflavonoids (C6-C3-C6) from the phenylpropanoid/flavonoid pathway
CMP_G000028,7-Fluoro-L-tryptophan,Amino_acid,CORRECT,Amino_acid,Structure: fluorinated tryptophan with NH2-CH-COOH,7-Fluoro-L-tryptophan retains the complete alpha-amino acid backbone
CMP_G000134,Dehydroprobetaenone I,Polyketide,CORRECT,Polyketide,Literature: betaenone precursor from 8 acetate units in Phoma betae,Probetaenone I is biosynthesized from eight acetate units via polyketide pathway; confirmed polyketide
CMP_G001094,preaspterpenacid acid I,Terpenoid,CORRECT,Terpenoid,Literature: sesterterpenoid (C25) from Aspergillus,Preaspterpenacid is a sesterterpenoid precursor in the asperterpenoid pathway (C25 terpenoid)
CMP_G000162,2-Amino-3-(7-hydroxy-2-methyl-1H-indol-3-yl)propanoic acid,Amino_acid,CORRECT,Amino_acid,Structure: hydroxylated methyltryptophan with NH2-CH-COOH,Modified tryptophan with complete alpha-amino acid backbone (NH2-CHR-COOH)
CMP_G000469,6-Methyl-DL-tryptophan,Amino_acid,CORRECT,Amino_acid,Structure: methylated tryptophan with NH2-CH-COOH,6-Methyl-DL-tryptophan retains the complete alpha-amino acid backbone
