id,name,our_labels,verdict,correct_labels,source,reasoning
CMP_G001410,"3,7,11,15-Tetramethylhexadecanoate",Terpenoid,WRONG,Fatty_acid,"PubChem CID 9972843; ChEBI:16285; Wikipedia Phytanic acid","Phytanic acid (3,7,11,15-tetramethylhexadecanoic acid) is a branched-chain fatty acid derived from phytol side chain of chlorophyll. Although biosynthetically related to isoprenoids it is universally classified as a branched-chain fatty acid in lipid databases (LIPID MAPS ChEBI). Not a terpenoid per se."
CMP_G001993,"Phenol, 4-(1-methylethyl)- (9CI, ACI)",Terpenoid,WRONG,Other,"PubChem CID 7465; ChemSpider 7185","4-Isopropylphenol (p-cumenol) is a simple alkylphenol. C9 compound that does not meet terpenoid criteria (C10/C15/C20 etc. isoprene-derived skeleton). Classified as Other."
CMP_G001435,4-Bromo-2-methyltryptophan,Amino_acid,CORRECT,Amino_acid,Structure analysis,"Has alpha-amino group and carboxylic acid (-C(=O)O). Halogenated tryptophan derivative. Clearly an amino acid."
CMP_G001838,,Fatty_acid,CORRECT,Fatty_acid,Structure analysis (SMILES),"SMILES shows C20:4 fatty acyl chain esterified to glycerophosphate. Lysophospholipid/fatty acid derivative. Fatty_acid correct."
CMP_G001388,Anisole,Other,CORRECT,Other,"PubChem; general chemistry","Anisole (methoxybenzene) is a simple aromatic ether. Not a natural product class. Other is correct."
CMP_G001039,"alpha-Amino-6-hydroxy-1,2-dimethyl-1H-indole-3-propanal",Other,CORRECT,Other,Structure analysis,"Decarboxylated tryptophan derivative with aldehyde instead of COOH at alpha-carbon. Per rules: no COOH = not amino acid. Other is correct."
CMP_G001732,UCS1025A,Alkaloid;Polyketide,CORRECT,Alkaloid;Polyketide,"PMC5817883; Org Lett 2003","UCS1025A is a fungal PKS-NRPS hybrid: polyketide backbone + pyrrolizidinone nitrogen. Both polyketide and alkaloid in literature. Our dual label is correct."
CMP_G001809,"all tested hydroperoxides (13-HPOT, 13-HPOD, 9-HPOT, 9-HPOD)",Phenylpropanoid,WRONG,Other,"SMILES analysis; PubChem glucose","CRITICAL: Name says hydroperoxides but SMILES is glucose (monosaccharide). Neither is phenylpropanoid. Name-SMILES mismatch. Should be Other."
CMP_G000481,Dolabradiene,Terpenoid,CORRECT,Terpenoid,"ChEBI:141822; PubChem CID 12309316","C20 diterpene hydrocarbon with 5-6-6 tricyclic skeleton from GGPP. Confirmed terpenoid."
CMP_G001161,7-Ethenyl-L-tryptophan,Amino_acid,CORRECT,Amino_acid,Structure analysis,"Has alpha-amino group and -C(=O)O. Vinyl-substituted tryptophan. Amino acid correct."
CMP_G001170,,Terpenoid,CORRECT,Terpenoid,Structure analysis (SMILES),"C15H24 skeleton with multiple isoprene-derived methyl/isopropenyl groups. Sesquiterpene hydrocarbon. Terpenoid correct."
CMP_G000589,7-Ethynyl-1-methyltryptophan,Amino_acid,CORRECT,Amino_acid,Structure analysis,"Has alpha-amino and carboxylic acid groups on tryptophan scaffold. Amino acid correct."
CMP_G000295,(2S)-2-amino-3-(4-fluoro-1H-indol-3-yl)propanoic acid,Amino_acid,CORRECT,Amino_acid,Structure analysis,"4-Fluorotryptophan with standard amino acid backbone (NH2-CH-COOH). Amino acid correct."
CMP_G000790,Xanthotoxol,Phenylpropanoid,CORRECT,Phenylpropanoid,"Wikipedia Xanthotoxol; PubChem CID 65090","Linear furanocoumarin (8-hydroxypsoralen). Furanocoumarins derive from umbelliferone via PAL pathway. Phenylpropanoid correct."
CMP_G001848,lolitrem E,Alkaloid,CORRECT,Alkaloid;Terpenoid,"PMC4773800; MDPI Toxins 2016","Indole diterpene alkaloid from fungal endophytes. Alkaloid label correct; could also carry Terpenoid since it is an indole-DITERPENE. Acceptable."
