id,name,our_labels,verdict,correct_labels,source,reasoning
CMP_G000580,"alpha-Amino-1,2-dimethyl-4-(4-morpholinyl)-1H-indole-3-propanal",Other,CORRECT,Other,Structure analysis,"Modified tryptophan analog with aldehyde instead of carboxylic acid (C=O not COOH) and synthetic morpholinyl group. No COOH = not Amino_acid. Synthetic indole derivative = Other."
CMP_G000405,5Alpha-cholest-7-en-3-one,Steroid,CORRECT,Steroid,PubChem/structural,"Classic cholestane skeleton (C27) with 4 fused rings (6-6-6-5), 3-keto group, delta-7 unsaturation. Clearly a steroid."
CMP_G000315,coniferaldehyde,Phenylpropanoid,CORRECT,Phenylpropanoid,Wikipedia/Frontiers,"Key intermediate in lignin biosynthesis via PAL pathway. C6-C3 structure (4-hydroxy-3-methoxyphenyl + propenal). Classic phenylpropanoid."
CMP_G001071,Cordycol,Terpenoid,CORRECT,Terpenoid,Structure analysis,"C15 sesquiterpenoid with epoxide ring. Isoprene-derived skeleton with characteristic branching pattern. Terpenoid confirmed."
CMP_G001690,3-Fluoro-D-tyrosine,Amino_acid,CORRECT,Amino_acid,Structure analysis,"Fluorinated tyrosine derivative with intact amino acid backbone (NH2-CH-COOH). Has carboxylic acid group. Amino acid."
CMP_G000079,(unnamed - 4-propylbenzoic acid),Other,CORRECT,Other,Structure analysis,"Simple para-substituted benzoic acid (propyl chain on benzene ring + COOH). Not a natural product class. Synthetic/simple aromatic acid = Other."
CMP_G000264,"2-[(3E,5E)-6-(4-Chlorophenyl)-3,5-dimethyl-hexadienyl]-6-methoxy-3,5-dimethyl-4H-pyran-4-one",Polyketide,CORRECT,Polyketide,Structure analysis,"Methoxy-dimethyl pyranone core with polyene chain. Contains chlorophenyl suggesting synthetic/semi-synthetic origin, but the pyranone-polyene scaffold is polyketide-derived. Reasonable classification."
CMP_G000629,soppiline B,Polyketide,CORRECT,Polyketide,Nature/Springer alkylresorcinol literature,"Alkylresorcinol from Penicillium soppi. Resorcinol ring biosynthesized by type III polyketide synthase (PKS) from acyl starter + malonyl-CoA. Confirmed polyketide."
CMP_G000265,Epi-Isozizaene,Terpenoid,CORRECT,Terpenoid,JACS/Biochemistry,"Tricyclic sesquiterpene hydrocarbon (C15) from Streptomyces coelicolor. Cyclized from FPP by epi-isozizaene synthase. Precursor to albaflavenone antibiotic. Confirmed terpenoid."
CMP_G000215,Cumic acid,Terpenoid,CORRECT,Terpenoid,PubChem/MedChemExpress,"p-Isopropylbenzoic acid (C10). Classified as aromatic monoterpenoid. Isolated from Bridelia retusa bark. Natural terpenoid-derived aromatic compound."
CMP_G001053,"Benzoic acid triazole macrolactone derivative",Other,CORRECT,Other,Structure analysis,"Synthetic macrolactone with triazole (click chemistry) and dimethylamino group. Contains 1,2,3-triazol-1-yl which is a synthetic click chemistry motif. Not a natural product class = Other."
CMP_G000302,(+)-exo-beta-bergamotene,Terpenoid,CORRECT,Terpenoid,Wikipedia/ChEBI,"Bicyclo[3.1.1]heptane sesquiterpene (C15). Found in bergamot oil and sandalwood. Confirmed sesquiterpenoid."
CMP_G001876,2'-hydroxyformononetin,Phenylpropanoid,CORRECT,Phenylpropanoid,ChEBI/Wikipedia,"Isoflavone derivative (formononetin + 2'-OH). Isoflavonoids are phenylpropanoid pathway products from PAL→C6-C3→flavanone→isoflavone. Confirmed phenylpropanoid."
CMP_G000028,7-Fluoro-L-tryptophan,Amino_acid,CORRECT,Amino_acid,Structure analysis,"Fluorinated tryptophan with intact amino acid backbone (NH2-CH-COOH). Has carboxylic acid. Confirmed amino acid."
CMP_G000134,Dehydroprobetaenone I,Polyketide,CORRECT,Polyketide,RSC/biorxiv betaenone biosynthesis,"Synthesized by PKS bet1 + enoyl reductase bet3 from 1 acetyl-CoA + 7 malonyl-CoA + 5 methylations. Decalin scaffold from Diels-Alder cyclization of polyketide chain. Confirmed polyketide."
CMP_G001094,preaspterpenacid acid I,Terpenoid,CORRECT,Terpenoid,Structure analysis + terpenoid literature,"Pentacyclic C25 sesterterpenoid skeleton. Name contains 'terpen' prefix. Multiple isoprene-derived ring fusions. Confirmed terpenoid."
CMP_G000162,"2-Amino-3-(7-hydroxy-2-methyl-1H-indol-3-yl)propanoic acid",Amino_acid,CORRECT,Amino_acid,Structure analysis,"Modified tryptophan with hydroxy and methyl on indole ring. Has intact amino acid backbone with COOH group. Confirmed amino acid."
CMP_G000469,6-Methyl-DL-tryptophan,Amino_acid,CORRECT,Amino_acid,Structure analysis,"Methylated tryptophan derivative with intact NH2-CH(R)-COOH backbone. Has carboxylic acid. Confirmed amino acid."
CMP_G000365,Caulophyllogenin,Terpenoid,CORRECT,Terpenoid,Extrasynthese/Springer,"Oleanane-type pentacyclic triterpenoid sapogenin (C30). From Caulophyllum genus. Confirmed terpenoid."
CMP_G000711,(unnamed - amiodarone analog),Other,CORRECT,Other,PubChem amiodarone/structural,"Iodinated benzofuran derivative structurally related to amiodarone (synthetic antiarrhythmic drug). Di-iodo benzoyl + diethylaminoethoxy + butyl benzofuran. Fully synthetic pharmaceutical = Other."
CMP_G000952,(unnamed - 3-chlorobenzoate),Other,CORRECT,Other,Structure analysis,"3-Chlorobenzoic acid carboxylate anion. Simple halogenated aromatic acid. Synthetic/industrial chemical = Other."
CMP_G000033,16-methoxytabersonine,"Terpenoid;Alkaloid",CORRECT,"Terpenoid;Alkaloid",Wikipedia/ChEBI/PMC,"Monoterpene indole alkaloid (MIA) from Catharanthus roseus. Terpenoid component (C10 secologanin-derived) + tryptophan-derived indole = dual Terpenoid+Alkaloid. Both labels correct."
CMP_G000456,(unnamed - stylopine),Steroid,WRONG,Alkaloid,PubChem CID 440583 / MedChemExpress / ScienceDirect,"SMILES matches stylopine (tetrahydrocoptisine), a protoberberine-type benzylisoquinoline alkaloid. Contains two methylenedioxy bridges on isoquinoline skeleton. No steroid 4-ring system present. Should be Alkaloid, not Steroid."
