id,name,final_labels,confidence,source,reasoning
CMP_G000005,"A 1,2-Saturated Fatty Acid",Fatty_acid,high,Name-based + SMILES analysis,"Generic wildcard SMILES (*CC(=O)[O-]) represents a saturated fatty acyl chain with carboxylate. Name explicitly states fatty acid."
CMP_G000006,"2,3-Saturated Fatty Acid",Fatty_acid,high,Name-based + SMILES analysis,"Generic wildcard SMILES (*CCC(=O)[O-]) represents a saturated fatty acyl chain with carboxylate. Name explicitly states fatty acid."
CMP_G000007,"A Jasmonyl-L-Amino Acid","Fatty_acid,Amino_acid",high,Wikipedia jasmonic acid; ChEBI jasmonates,"Jasmonyl moiety is a cyclopentanone oxylipin derived from alpha-linolenic acid (fatty acid derivative). Conjugated to L-amino acid with intact NH-CHR-COOH backbone."
CMP_G000008,"A 12-Hydroxyjasmonyl-L-Alpha-Amino Acid","Fatty_acid,Amino_acid",high,Wikipedia jasmonic acid; ChEBI jasmonates,"12-hydroxyjasmonyl is a hydroxylated jasmonate (fatty acid-derived oxylipin). Conjugated to amino acid retaining intact alpha-amino acid backbone (NH-CHR-COOH)."
CMP_G000010,A Flavanone,Phenylpropanoid,high,Standard biochemistry; flavanones are C6-C3-C6 flavonoids,"Flavanones are a subclass of flavonoids with C6-C3-C6 skeleton derived from the phenylpropanoid pathway via PAL."
CMP_G000014,An Omega-Methyl-Long-Chain Fatty Acid,Fatty_acid,high,Name-based + SMILES analysis,"Generic SMILES (C*C(=O)[O-]) with wildcard chain. Name explicitly states long-chain fatty acid with omega-methyl branch."
CMP_G000015,"An (Omega-1)-Ethyl Fatty Acid",Fatty_acid,high,Name-based + SMILES analysis,"Generic SMILES (CC*C(=O)[O-]) with wildcard chain. Name explicitly states fatty acid with ethyl branch."
CMP_G000019,,Other,high,PubChem CID 176870 (Erlotinib),"SMILES matches erlotinib (C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1), a synthetic EGFR tyrosine kinase inhibitor (quinazoline). Not a natural product."
CMP_G000024,,Other,high,PubChem CID 5886 (NADP),"SMILES encodes NADP (nicotinamide adenine dinucleotide phosphate), a ubiquitous biological cofactor/coenzyme. It is a dinucleotide, not any of the 7 natural product classes."
CMP_G000029,Ethyl phenyl sulfide,Other,high,PubChem CID 12144,"Simple synthetic thioether (C6H5-S-C2H5). No natural product origin; used as a laboratory reagent and P450 probe substrate."
CMP_G000033,16-methoxytabersonine,"Alkaloid,Terpenoid",high,Wikipedia 16-Methoxytabersonine; PMC4441158,"Monoterpene indole alkaloid from Catharanthus roseus. Biosynthesized from tryptamine (indole) + secologanin (iridoid monoterpenoid). Dual classification as alkaloid and terpenoid."
CMP_G000037,"alpha-Amino-6-bromo-1,2-dimethyl-1H-indole-3-propanal",Other,high,SMILES analysis + literature on halogenated tryptophan analogs,"Synthetic halogenated (6-Br) and N-methylated indole derivative with aldehyde (-CHO) replacing carboxylic acid. No intact amino acid backbone (no -COOH). Not a natural alkaloid."
CMP_G000048,"4-(methoxymethyl)-2-methyl 5-phenyl-4,5-dihydrooxazole",Other,high,Chem-Impex product page; synthetic chiral auxiliary,"Synthetic chiral oxazoline used as a ligand/auxiliary in asymmetric catalysis. No natural product origin."
CMP_G000050,"alpha-Amino-4-fluoro-1,2-dimethyl-1H-indole-3-propanal",Other,high,SMILES analysis + literature on halogenated tryptophan analogs,"Synthetic fluorinated (4-F) and N-methylated indole derivative with aldehyde (-CHO) instead of -COOH. Not a natural product; fluorinated organics are extremely rare in nature."
CMP_G000051,3-Hydroxy-2-naphthoic acid,Other,high,Wikipedia 3-Hydroxy-2-naphthoic acid; PubChem CID 7104,"Synthetic compound prepared by Kolbe-Schmitt reaction. Used as dye/pigment intermediate. Not a natural product."
CMP_G000052,"1,1-Biphenyl, 2-methyl-",Other,high,PubChem CID 12563,"Synthetic aromatic hydrocarbon (2-phenyltoluene). No natural product classification; industrial chemical."
CMP_G000056,2-Methylpropanal,Other,high,PubChem CID 6561 (Isobutyraldehyde),"Simple branched C4 aldehyde. While found in foods as a flavor compound, it is not a fatty acyl (no acyl group) and does not fit any of the 7 classes."
CMP_G000057,orsellinic acid,Polyketide,high,PNAS 106:14558 (Aspergillus); PMC2903553,"Archetypal polyketide produced by iterative type I PKS from acetyl-CoA + 3 malonyl-CoA. Confirmed fungal polyketide in Aspergillus nidulans and lichen fungi."
CMP_G000079,,Other,medium,PubChem CID 137601 (4-propylbenzoic acid),"SMILES CCCc1ccc(C(=O)O)cc1 is 4-propylbenzoic acid. A simple alkyl-substituted benzoic acid. Not a phenylpropanoid (C6-C3 from PAL); propyl chain is at C4 not the characteristic C6-C3 skeleton."
CMP_G000082,Lochnericine,"Alkaloid,Terpenoid",high,PubChem CID 11382599; PMC on C. roseus MIAs,"Monoterpene indole alkaloid from Catharanthus roseus roots, derived from tabersonine 6,7-epoxidation. Dual classification: alkaloid (indole N-heterocycle) + terpenoid (secologanin-derived)."
CMP_G000083,5-pyrrol-1-ylpentanoic acid,Other,medium,SMILES analysis; PubChem search,"N-alkylated pyrrole with pentanoic acid chain. Pyrrole nitrogen is non-basic (part of aromatic pi-system), so not an alkaloid. Not a known natural product. Synthetic compound."
CMP_G000089,"[1,1-Biphenyl]-4-methanol",Other,high,PubChem CID 19186,"Synthetic biphenylmethanol. Used as pharmaceutical intermediate. No natural product origin documented."
CMP_G000090,Benzo(Alpha)Pyrene,Other,high,PubChem; EPA PAH priority pollutant list,"Polycyclic aromatic hydrocarbon (5 fused benzene rings). Environmental pollutant from incomplete combustion. Not a natural product in any of the 7 classes."
CMP_G000091,4-hydroxyphenylacetonitrile,Other,medium,Wikipedia 4-Hydroxyphenylacetonitrile; glucosinolate literature,"Nitrile from glucosinalbin degradation in cruciferous plants. The nitrogen is in a -CN group (not a basic N-heterocycle), so it does not qualify as an alkaloid."
CMP_G000093,O-Methylandrocymbine,Alkaloid,high,RSC Perkin Trans. 1 1998; Nature 2020 colchicine biosynthesis,"Phenethylisoquinoline (homomorphinan) alkaloid, key intermediate in colchicine biosynthesis in Colchicum autumnale. Well-established plant alkaloid."
CMP_G000095,"alpha-Amino-1,2-dimethyl-5-(4-pyridinyl)-1H-indole-3-propanal",Other,high,SMILES analysis,"Synthetic indole-pyridine derivative with aldehyde instead of -COOH. Dimethylated indole with pyridine substituent. Not a natural product."
CMP_G000097,cyclononanone,Other,medium,PubChem CID 76877,"Cyclic C9 ketone. Not a fatty acyl compound (no acyl chain, cyclic ketone). Not clearly a natural product in any of the 7 classes."
CMP_G000100,Pyrene,Other,high,Wikipedia PAH; EPA priority pollutant,"Polycyclic aromatic hydrocarbon (4 fused benzene rings). Environmental contaminant from combustion. Not a natural product."
