record_id,chunk_id,uniprot_id,enzyme_name,ligand_name,pdb_id,original_class,verified_class,confidence,evidence_level,is_correct,is_mutant,trap_detected,needs_human_review,review_reason,reasoning
REC_0172,04,P00178,CYP2B4,phenanthren-9-ylacetaldehyde,3UAS,unknown,PRODUCT,HIGH,B,True,False,none,False,,Acetaldehyde oxidation product. Very high confidence as PRODUCT.
REC_0173,04,P00178,CYP2B4,TRIS(HYDROXYETHYL)AMINOMETHANE,3UAS,unknown,EXCLUDE,HIGH,A,True,False,none,False,,Tris buffer. Correct classification as EXCLUDE.
REC_0174,04,P00178,CYP2B4,Clopidogrel,4H1N,unknown,SUBSTRATE,MEDIUM,B,True,False,none,False,,Clopidogrel is an antiplatelet prodrug metabolized by CYPs. Medium-high confidence as SUBSTRATE.
REC_0175,04,P00178,CYP2B4,Paroxetine,4JLT,unknown,INHIBITOR,HIGH,A,True,False,none,False,,"Paroxetine is a well-known SSRI antidepressant and potent CYP2B6 inhibitor. Original was low-medium confidence, but this is well-documented experimentally. Very high confidence as INHIBITOR."
REC_0176,04,P00178,CYP2B4,"3,6,9,12,15,18-hexaoxahexacosan-1-ol",5IUT,product,EXCLUDE,HIGH,D,True,False,none,False,,"This is a PEG-like compound (polyethylene glycol derivative), likely a crystallization artifact or buffer component, not an enzymatic product. Correctly classified as EXCLUDE."
REC_0177,04,P00179,CYP2C5,SAMARIUM (III) ION,1DT6,unknown,EXCLUDE,HIGH,D,True,False,none,False,,"Samarium ion is a lanthanide metal ion, used in crystallography. Not a substrate, inhibitor, or product. Correctly classified as EXCLUDE."
REC_0178,04,P00179,CYP2C5,4-METHYL-N-METHYL-N-(2-PHENYL-2H-PYRAZOL-3-YL)BENZENESULFONAMIDE,1N6B,inhibitor,INHIBITOR,HIGH,A,True,False,none,False,,"This is a sulfaphenazole derivative, a well-known P450 inhibitor particularly for CYP2C family. Original classification as inhibitor is correct."
REC_0179,04,P00179,CYP2C5,"2-[2,6-DICHLOROPHENYL)AMINO]BENZENEACETIC ACID",1NR6,unknown,SUBSTRATE,HIGH,A,True,False,none,False,,"This is diclofenac, a well-known NSAID metabolized by CYP2C family enzymes. Extensively studied substrate with known metabolic pathways. Very high confidence as SUBSTRATE."
REC_0180,04,P00183,CYP101A1 (P450cam),BENZENE,1CP4,unknown,INHIBITOR,MEDIUM,B,True,False,none,False,,Benzene can bind to P450cam active site but is not the natural substrate. Acts as a competitive ligand/inhibitor. Medium-high confidence as INHIBITOR.
REC_0181,04,P00183,CYP101A1 (P450cam),OXYGEN ATOM,1DZ9,unknown,EXCLUDE,HIGH,D,True,False,none,False,,"Oxygen atom is not a substrate molecule but part of the catalytic mechanism. Should be EXCLUDE, not substrate/inhibitor/product."
REC_0182,04,P00183,CYP101A1 (P450cam),N-BUTYL ISOCYANIDE,1GEK,unknown,INHIBITOR,HIGH,A,True,False,none,False,,Isocyanides are well-known P450 inhibitors that coordinate to the heme iron. N-butyl isocyanide is a classic P450 inhibitor. High confidence as INHIBITOR.
REC_0183,04,P00183,CYP101A1 (P450cam),N-(2-FERROCENYLETHYL)MALEIMIDE,1GJM,unknown,EXCLUDE,HIGH,D,True,False,none,False,,"Ferrocene-labeled compound used as synthetic probe or electrochemical reagent. Not a natural substrate, inhibitor, or product. Correctly classified as EXCLUDE."
REC_0184,04,P00183,CYP101A1 (P450cam),"1,3,5-TRICHLORO-BENZENE",1J51,unknown,INHIBITOR,MEDIUM,B,True,False,none,False,,Trichlorobenzene is a halogenated aromatic that can bind to P450cam. Acts as a competitive ligand rather than substrate. Medium confidence as INHIBITOR.
REC_0185,04,P00183,CYP101A1 (P450cam),CACODYLATE ION,1K2O,unknown,EXCLUDE,HIGH,D,True,False,none,False,,"Cacodylate is a common crystallography buffer component. Not a substrate, inhibitor, or product. Correctly classified as EXCLUDE."
REC_0186,04,P00183,CYP101A1 (P450cam),"DELTA-BIS(2,2-BIPYRIDINE)-(5-METHYL-2-2-BIPYRIDINE)-C2-ADAMANTANE RUTHENIUM (II)",1K2O,unknown,EXCLUDE,HIGH,D,True,False,none,False,,"Ruthenium bipyridine complex used as electron transfer probe or photosensitizer in research. Not a substrate, inhibitor, or enzymatic product. EXCLUDE."
REC_0187,04,P00183,CYP101A1 (P450cam),"LAMBDA-BIS(2,2-BIPYRIDINE)-(5-METHYL-2-2-BIPYRIDINE)-C2-ADAMANTANE RUTHENIUM (II)",1K2O,unknown,EXCLUDE,HIGH,D,True,False,none,False,,"Lambda isomer of ruthenium bipyridine complex, similar to REC_0186. Research probe for electron transfer studies. EXCLUDE."
REC_0188,04,P00183,CYP101A1 (P450cam),(+)-alpha-Pinene,1MPW,unknown,SUBSTRATE,MEDIUM,B,True,False,none,False,,Alpha-pinene is a monoterpene that can be hydroxylated by P450cam. Known alternative substrate to camphor. Medium-high confidence as SUBSTRATE.
REC_0189,04,P00183,CYP101A1 (P450cam),(S)-3-(1-METHYLPYRROLIDIN-2-YL)PYRIDINE,1P2Y,unknown,INHIBITOR,HIGH,A,True,False,none,False,,"This is (S)-nicotine, a well-studied P450 inhibitor. Pyridine ring coordinates to heme iron. High confidence as INHIBITOR."
REC_0190,04,P00183,CYP101A1 (P450cam),"1-(N-IMIDAZOLYL)-2-HYDROXY-2-(2,3-DICHLOROPHENYL)OCTANE",1PHB,inhibitor,INHIBITOR,HIGH,A,True,False,none,False,,Imidazole derivative that binds to heme iron. Original classification as inhibitor is correct. High confidence as INHIBITOR.
REC_0191,04,P00183,CYP101A1 (P450cam),1-phenyl-1H-imidazole,1PHD,inhibitor,INHIBITOR,HIGH,A,True,False,none,False,,Phenylimidazole is a classic P450 inhibitor. Imidazole nitrogen coordinates to heme iron. Original classification correct. HIGH confidence as INHIBITOR.
REC_0192,04,P00183,CYP101A1 (P450cam),2-phenyl-1H-imidazole,1PHE,inhibitor,INHIBITOR,HIGH,A,True,False,none,False,,2-phenylimidazole is a positional isomer of 1-phenylimidazole. Also a strong P450 inhibitor. Original classification correct. HIGH confidence as INHIBITOR.
REC_0193,04,P00183,CYP101A1 (P450cam),4-PHENYL-1H-IMIDAZOLE,1PHF,inhibitor,INHIBITOR,HIGH,A,True,False,none,False,,4-phenylimidazole is another phenylimidazole isomer. Strong P450 inhibitor via heme coordination. Original classification correct. HIGH confidence as INHIBITOR.
