id,name,our_labels,verdict,correct_labels,source,reasoning
CMP_G000751,(+)-abscisic acid,Terpenoid,CORRECT,Terpenoid,ChEBI:2365; Wikipedia Abscisic acid,Sesquiterpenoid (C15) plant hormone; derived from carotenoid (C40) cleavage via MEP pathway. Clearly a terpenoid.
CMP_G000777,4-Aminotryptophan,Amino_acid,CORRECT,Amino_acid,SMILES analysis,"Tryptophan derivative with amino group at C4 of indole ring; retains alpha-amino acid backbone (NH2-CH-COOH). Valid amino acid."
CMP_G001933,(statin-like polyketide),Polyketide,CORRECT,Polyketide,Wikipedia Lovastatin; PubChem simvastatin,"SMILES shows decalin ring + hydroxy acid side chain + dimethylbutyrate ester = lovastatin/simvastatin scaffold. Statins are fungal polyketide-derived natural products."
CMP_G000615,cyatha-3,12-diene,Terpenoid,CORRECT,Terpenoid,PubChem CID 15519950; ChEBI:193155,Diterpene (C20H32) with cyathane skeleton. Well-established terpenoid class.
CMP_G000246,(fluorotryptophan-proline DKP),Amino_acid,WRONG,Other,Wikipedia 2,5-Diketopiperazine; SMILES analysis,"SMILES O=C1N[C@@H](Cc2c[nH]c3c(F)cccc23)C(=O)N2CCC[C@@H]12 is a cyclo(fluoroTrp-Pro) diketopiperazine. The peptide bond is cyclized; no free amino/carboxyl groups remain. This is NOT an amino acid — it is a cyclic dipeptide (DKP). Classify as Other."
CMP_G000837,(thioridazine-like phenothiazine),Other,CORRECT,Other,Wikipedia Thioridazine; PubChem CID 5452,"SMILES shows phenothiazine core with piperidine side chain and methylthio group = thioridazine (synthetic antipsychotic drug). Not a natural product in any class. Other is correct."
CMP_G000266,levopimaradienol,Terpenoid,CORRECT,Terpenoid,PubChem CID 443471 (levopimaradiene),Pimarane-type diterpene alcohol (C20 skeleton + CH2OH). Levopimaradiene is a well-known diterpene precursor to resin acids. Terpenoid correct.
CMP_G000254,(E/Z)-Paox,Amino_acid,WRONG,Other,PubChem CID 99748 (phenylacetaldoxime); Wikipedia Phenylalanine N-monooxygenase,"SMILES O/N=C\Cc1ccccc1 is phenylacetaldoxime (PAOx). It is a DEAMINATED and DECARBOXYLATED derivative of phenylalanine (produced by CYP79A2). No amino group or carboxyl group remains. NOT an amino acid. It is a simple oxime. Classify as Other."
CMP_G001845,(9Z)-Octadecenoyl-CoA,Fatty_acid,CORRECT,Fatty_acid,Wikipedia Acyl-CoA; Fatty acyl-CoA esters,"Oleoyl-CoA (C18:1 fatty acyl-CoA thioester). The core is oleic acid (C18 monounsaturated fatty acid) conjugated to CoA. Fatty_acid classification is appropriate."
CMP_G002114,(4-(methylamino)benzoic acid),Other,CORRECT,Other,PubChem CID 66345,"SMILES CNc1ccc(C(=O)O)cc1 is 4-(methylamino)benzoic acid. Simple aromatic compound; not a natural product in any defined class. Not phenylpropanoid (C6-C1 not C6-C3). Other is correct."
